Category: All categories

Month,Facebook: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,2
2007-06,2
2007-07,3
2007-08,4
2007-09,4
2007-10,5
2007-11,6
2007-12,6
2008-01,6
2008-02,6
2008-03,7
2008-04,7
2008-05,8
2008-06,10
2008-07,11
2008-08,13
2008-09,13
2008-10,17
2008-11,20
2008-12,23
2009-01,27
2009-02,28
2009-03,31
2009-04,33
2009-05,36
2009-06,39
2009-07,42
2009-08,46
2009-09,47
2009-10,52
2009-11,50
2009-12,58
2010-01,58
2010-02,61
2010-03,64
2010-04,66
2010-05,64
2010-06,66
2010-07,67
2010-08,68
2010-09,72
2010-10,73
2010-11,70
2010-12,74
2011-01,80
2011-02,78
2011-03,77
2011-04,80
2011-05,76
2011-06,80
2011-07,79
2011-08,82
2011-09,83
2011-10,78
2011-11,77
2011-12,81
2012-01,77
2012-02,81
2012-03,79
2012-04,82
2012-05,77
2012-06,84
2012-07,82
2012-08,78
2012-09,78
2012-10,96
2012-11,100
2012-12,99
2013-01,97
2013-02,100
2013-03,92
2013-04,96
2013-05,95
2013-06,96
2013-07,98
2013-08,96
2013-09,90
2013-10,88
2013-11,80
2013-12,80
2014-01,78
2014-02,75
2014-03,75
2014-04,76
2014-05,72
2014-06,73
2014-07,72
2014-08,70
2014-09,71
2014-10,67
2014-11,69
2014-12,65
2015-01,60
2015-02,61
2015-03,59
2015-04,59
2015-05,59
2015-06,59
2015-07,59
2015-08,58
2015-09,58
2015-10,56
2015-11,55
2015-12,52
2016-01,58
2016-02,54
2016-03,55
2016-04,54
2016-05,53
2016-06,55
2016-07,55
2016-08,53
2016-09,48
2016-10,48
2016-11,44
2016-12,45
2017-01,43
2017-02,41
2017-03,40
2017-04,41
2017-05,39
2017-06,39
2017-07,39
2017-08,41
2017-09,39
2017-10,38
2017-11,34
2017-12,34
2018-01,33
2018-02,32
2018-03,30
2018-04,30
2018-05,29
2018-06,27
2018-07,27
2018-08,26
2018-09,25
2018-10,24
2018-11,24
2018-12,23
2019-01,23
2019-02,21
2019-03,21
2019-04,20
2019-05,22
2019-06,21
2019-07,20
2019-08,20
2019-09,19
2019-10,19
2019-11,18
2019-12,19
2020-01,18
2020-02,18
2020-03,19
2020-04,19
2020-05,19
2020-06,18
2020-07,17
2020-08,17
2020-09,16
2020-10,16
2020-11,16
2020-12,15
2021-01,15
2021-02,15
2021-03,14
2021-04,14
2021-05,14
2021-06,13
2021-07,14
2021-08,13
2021-09,13
2021-10,14
2021-11,12
2021-12,12
2022-01,12
2022-02,11
2022-03,10
2022-04,11
2022-05,11
2022-06,11
2022-07,11
2022-08,11
2022-09,10
2022-10,10
