Category: All categories

Week,Pokémon GO: (Worldwide)
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,29
2016-07-10,100
2016-07-17,79
2016-07-24,51
2016-07-31,54
2016-08-07,44
2016-08-14,27
2016-08-21,22
2016-08-28,15
2016-09-04,13
2016-09-11,14
2016-09-18,9
2016-09-25,8
2016-10-02,6
2016-10-09,6
2016-10-16,5
2016-10-23,6
2016-10-30,5
2016-11-06,4
2016-11-13,3
2016-11-20,5
2016-11-27,3
2016-12-04,3
2016-12-11,5
2016-12-18,4
2016-12-25,4
2017-01-01,3
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,4
2017-02-19,5
2017-02-26,3
2017-03-05,3
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,2
2017-04-09,2
2017-04-16,2
2017-04-23,1
2017-04-30,2
